NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8445121,Hardy Astrom,19771978,240:00,NA,0,2,0,2,110,0,0,0,NA,NA,NA,0.887097,3.5,4,4,124,14,NA,NA,NA,
8445121,Hardy Astrom,19791980,2565:42,NA,0,9,6,27,1081,0,0,0,NA,NA,NA,0.87037,3.7651,49,39,1242,161,NA,NA,NA,
8445121,Hardy Astrom,19801981,1638:48,NA,0,6,6,15,684,0,0,0,NA,NA,NA,0.869123,3.7711,30,26,787,103,NA,NA,NA,
8445218,Steve Baker,19791980,1389:01,NA,1,9,6,8,588,0,0,0,NA,NA,NA,0.881559,3.4125,27,23,667,79,NA,NA,NA,
8445218,Steve Baker,19801981,1256:20,NA,2,10,5,6,536,0,0,0,NA,NA,NA,0.880131,3.4863,21,21,609,73,NA,NA,NA,
8445218,Steve Baker,19811982,328:19,NA,0,1,0,5,128,0,0,0,NA,NA,NA,0.795031,6.0308,6,6,161,33,NA,NA,NA,
8445218,Steve Baker,19821983,100:46,NA,0,0,0,1,37,0,0,0,NA,NA,NA,0.880952,2.9772,3,1,42,5,NA,NA,NA,
8445249,Murray Bannerman,19771978,20:00,NA,0,0,0,0,7,0,0,0,NA,NA,NA,1.0,0.0,1,0,7,0,NA,NA,NA,
8445249,Murray Bannerman,19801981,862:09,NA,0,2,2,10,399,0,0,0,NA,NA,NA,0.86551,4.3148,15,15,461,62,NA,NA,NA,
8445249,Murray Bannerman,19811982,1666:43,NA,1,11,4,12,755,0,0,0,NA,NA,NA,0.86682,4.1759,29,28,871,116,NA,NA,NA,
8445249,Murray Bannerman,19821983,2457:00,NA,4,24,5,12,1154,0,0,0,NA,NA,NA,0.900859,3.1013,41,41,1281,127,NA,NA,NA,
8445249,Murray Bannerman,19831984,3325:41,NA,2,23,4,29,1476,0,0,0,NA,NA,NA,0.887019,3.3918,56,56,1664,188,NA,NA,NA,
8445249,Murray Bannerman,19841985,3363:11,NA,0,27,4,25,1629,0,0,0,NA,NA,NA,0.883406,3.8356,60,59,1844,215,NA,NA,NA,
8445249,Murray Bannerman,19851986,2679:25,NA,1,20,6,19,1335,0,0,0,NA,NA,NA,0.869141,4.501,48,46,1536,201,NA,NA,NA,
